"s","time"
-8.625,2.814
-10,2.816
-12.438,2.818
-20.906,2.82
-27.75,2.822
-22.031,2.824
-4.1562,2.826
14.812,2.828
28.094,2.83
38.594,2.832
48.375,2.834
50.344,2.836
38,2.838
15.062,2.84
-6.3438,2.842
-17.062,2.844
-14.469,2.846
-5.4688,2.848
-1.0938,2.85
-8.2188,2.852
-18.938,2.854
-19.281,2.856
-6.3125,2.858
10.219,2.86
22.75,2.862
28.312,2.864
26.25,2.866
19.906,2.868
13.5,2.87
5.1875,2.872
-1.0312,2.874
3.375,2.876
15.969,2.878
31.938,2.88
42.5,2.882
40.25,2.884
30.656,2.886
23.812,2.888
19.5,2.89
16.469,2.892
15.5,2.894
13.562,2.896
6.3438,2.898
-5.125,2.9
-12.281,2.902
-7.9375,2.904
5.6875,2.906
17.656,2.908
18.906,2.91
12.719,2.912
8.3125,2.914
9.375,2.916
12.688,2.918
13.688,2.92
14.25,2.922
17.969,2.924
23.781,2.926
23.875,2.928
12,2.93
-3.7812,2.932
-8.0625,2.934
1.6562,2.936
14.812,2.938
19.469,2.94
15.688,2.942
9.5,2.944
6.8438,2.946
8.375,2.948
8.4062,2.95
9.7812,2.952
22.25,2.954
43.875,2.956
60.969,2.958
60.188,2.96
39.75,2.962
14.25,2.964
2.1562,2.966
8.7188,2.968
21.938,2.97
30.344,2.972
30.75,2.974
20.531,2.976
0.34375,2.978
-17.281,2.98
-13.875,2.982
8.7812,2.984
26.844,2.986
27.156,2.988
18.906,2.99
16.312,2.992
23.125,2.994
32.438,2.996
36.625,2.998
32.719,3
20.094,3.002
1.8125,3.004
-9.75,3.006
-1.9375,3.008
19.375,3.01
35.719,3.012
37.062,3.014
28.25,3.016
20.062,3.018
22.344,3.02
33.469,3.022
41.219,3.024
34.156,3.026
10.812,3.028
-16.156,3.03
-27.594,3.032
-17.031,3.034
3.2812,3.036
18.219,3.038
21.688,3.04
13.625,3.042
3.7812,3.044
4.1562,3.046
14.5,3.048
26.406,3.05
31.688,3.052
27.125,3.054
16.812,3.056
6.6562,3.058
3.2188,3.06
8.5,3.062
14.875,3.064
11.938,3.066
1.1562,3.068
-11.031,3.07
-22.875,3.072
-31.719,3.074
-29.156,3.076
-10.75,3.078
15.594,3.08
36.219,3.082
44.281,3.084
41.75,3.086
36.375,3.088
35.969,3.09
39.531,3.092
38.656,3.094
28.312,3.096
7.2188,3.098
-15.375,3.1
-21.344,3.102
-3.9062,3.104
23.625,3.106
40.062,3.108
33.594,3.11
8.7812,3.112
-17.688,3.114
-27.562,3.116
-17.688,3.118
-0.78125,3.12
8.2188,3.122
7.0312,3.124
8.2812,3.126
17.969,3.128
26.031,3.13
26.406,3.132
24.781,3.134
26.531,3.136
31.844,3.138
35.406,3.14
32.312,3.142
23.75,3.144
15.031,3.146
13.125,3.148
17.75,3.15
23.875,3.152
27.969,3.154
27.594,3.156
21.531,3.158
11.188,3.16
1.0625,3.162
-6.125,3.164
-13.781,3.166
-21.094,3.168
-20.562,3.17
-10.031,3.172
-1.875,3.174
-7.4688,3.176
-15.156,3.178
-4.7188,3.18
21.625,3.182
43.906,3.184
49.688,3.186
43.75,3.188
38.375,3.19
41.5,3.192
51.844,3.194
59.844,3.196
55.75,3.198
40.906,3.2
21.656,3.202
3.5312,3.204
-6.7188,3.206
-7.6875,3.208
-4.6562,3.21
-1.8438,3.212
-0.90625,3.214
-1.5,3.216
-9.0938,3.218
-27.312,3.22
-42.875,3.222
-37.75,3.224
-12.906,3.226
16.812,3.228
39.812,3.23
52.156,3.232
57.812,3.234
60.531,3.236
59.531,3.238
54.281,3.24
47.312,3.242
42.25,3.244
37.844,3.246
25.281,3.248
1.3125,3.25
-22.25,3.252
-29.219,3.254
-18.094,3.256
0.71875,3.258
15.844,3.26
20.875,3.262
16.125,3.264
6.2188,3.266
-2.4688,3.268
-5.0312,3.27
1.0312,3.272
12.281,3.274
21.031,3.276
26.219,3.278
31.125,3.28
37.094,3.282
42.375,3.284
44.469,3.286
41,3.288
30.406,3.29
13.719,3.292
1.3125,3.294
2.0938,3.296
14.938,3.298
28.75,3.3
30.656,3.302
23,3.304
20.188,3.306
